latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.93022,144.25502,310.6,2.25,1.45,2023-04-09,0048,T,38,6.1NRT,298.97,15.77,D
-19.69328,139.35678,318.84,1.09,1.04,2023-04-09,0048,T,66,6.1NRT,303.56,9.86,D
-20.56821,145.1604,317.02,2.69,1.57,2023-04-09,0048,T,65,6.1NRT,299.5,40.16,D
-21.12173,135.78815,323.65,1.05,1.02,2023-04-09,0048,T,73,6.1NRT,305.95,12.91,D
-21.13991,135.84595,328.16,1.04,1.02,2023-04-09,0048,T,79,6.1NRT,305.27,17.33,D
-21.15051,135.79338,327.13,1.05,1.02,2023-04-09,0048,T,76,6.1NRT,303.23,17.34,D
-21.15202,135.8033,382.4,1.04,1.02,2023-04-09,0048,T,100,6.1NRT,312.49,164.06,D
-21.15353,135.8132,338.18,1.04,1.02,2023-04-09,0048,T,88,6.1NRT,309.04,31.98,D
-21.15504,135.82309,339.58,1.04,1.02,2023-04-09,0048,T,89,6.1NRT,307.51,34.68,D
-21.15655,135.83296,318.79,1.04,1.02,2023-04-09,0048,T,59,6.1NRT,304.98,6.52,D
-21.15959,135.79182,317.2,1.05,1.02,2023-04-09,0048,T,53,6.1NRT,300.19,7.73,D
-21.1611,135.80174,392.31,1.04,1.02,2023-04-09,0048,T,100,6.1NRT,311.42,215.32,D
-21.16261,135.81165,365.68,1.04,1.02,2023-04-09,0048,T,100,6.1NRT,312.8,98.52,D
-21.16412,135.82153,348.33,1.04,1.02,2023-04-09,0048,T,94,6.1NRT,311.87,50.94,D
-21.16562,135.83141,333.43,1.04,1.02,2023-04-09,0048,T,84,6.1NRT,306.76,23.93,D
-21.17132,135.81386,328.22,1.04,1.02,2023-04-09,0048,T,76,6.1NRT,304.8,17.11,D
-21.17285,135.82373,329.86,1.04,1.02,2023-04-09,0048,T,81,6.1NRT,305.89,19.38,D
-21.18192,135.82219,325.2,1.04,1.02,2023-04-09,0048,T,57,6.1NRT,304.39,13.11,D
-21.20007,135.81906,323.48,1.04,1.02,2023-04-09,0048,T,73,6.1NRT,304,11.86,D
-21.27338,136.17805,319.79,1.02,1.01,2023-04-09,0048,T,66,6.1NRT,304.92,8.1,D
-21.19327,135.47133,319.96,1.07,1.03,2023-04-09,0048,T,68,6.1NRT,303.39,9.61,D
-21.19483,135.48141,328.82,1.07,1.03,2023-04-09,0048,T,80,6.1NRT,304.21,20.33,D
1.52673,-60.75662,311.62,4.25,1.91,2023-04-09,0132,T,83,6.1NRT,287.41,88.08,N
1.53082,-60.76251,301.97,4.25,1.91,2023-04-09,0132,T,29,6.1NRT,287.41,35.79,N
2.95332,-60.18169,310.83,3.62,1.78,2023-04-09,0132,T,81,6.1NRT,290.35,54.57,N
2.9475,-60.18603,310,3.62,1.78,2023-04-09,0132,T,79,6.1NRT,290.42,54,N
2.89937,-61.0527,306.6,4.25,1.91,2023-04-09,0132,T,69,6.1NRT,287.87,51.04,N
2.90331,-61.05952,306.65,4.25,1.91,2023-04-09,0132,T,66,6.1NRT,287.3,51.32,N
8.78456,-62.70054,313.26,4.47,1.94,2023-04-09,0134,T,81,6.1NRT,286.52,109.16,N
-38.76911,-72.16382,355.56,1.65,1.26,2023-04-09,0300,T,100,6.1NRT,285.63,160.58,N
-38.77082,-72.18282,319.04,1.65,1.26,2023-04-09,0300,T,97,6.1NRT,282.26,39.72,N
-38.75606,-72.14673,307.48,1.64,1.26,2023-04-09,0300,T,72,6.1NRT,281.52,21.49,N
-38.7578,-72.16608,375.13,1.65,1.26,2023-04-09,0300,T,100,6.1NRT,287.33,284.69,N
-38.75949,-72.18498,325.96,1.65,1.26,2023-04-09,0300,T,100,6.1NRT,283.56,54.64,N
-38.74639,-72.16721,310.87,1.65,1.26,2023-04-09,0300,T,81,6.1NRT,282.44,26.57,N
-38.74812,-72.18665,306.99,1.65,1.26,2023-04-09,0300,T,66,6.1NRT,281.62,21.27,N
-38.03082,-72.67136,315.03,1.73,1.29,2023-04-09,0300,T,90,6.1NRT,283.8,36.28,N
-38.02308,-72.67886,317.93,1.73,1.29,2023-04-09,0300,T,96,6.1NRT,283.23,41.83,N
-37.90034,-71.8433,306.06,1.54,1.22,2023-04-09,0300,T,67,6.1NRT,286.95,16.56,N
-37.04907,-71.96991,300.7,1.53,1.22,2023-04-09,0300,T,32,6.1NRT,281.03,13.8,N
-13.76418,-43.62755,305.75,1.45,1.19,2023-04-09,0126,T,65,6.1NRT,291.68,9.74,N
-13.75364,-43.62935,302.28,1.45,1.19,2023-04-09,0126,T,30,6.1NRT,291.17,6.55,N
-34.11094,-70.45351,300.25,1.18,1.08,2023-04-09,0300,T,23,6.1NRT,284.99,8.42,N
-33.62429,-69.37989,300.24,1.06,1.03,2023-04-09,0300,T,23,6.1NRT,286.22,6.28,N
-17.49055,-71.3671,324.9,1,1,2023-04-09,0304,T,100,6.1NRT,288.92,23.38,N
5.82423,6.44776,302.15,1.03,1.02,2023-04-09,0120,A,47,6.1NRT,281.67,5.45,N
4.89505,7.12351,316.78,1,1,2023-04-09,0120,A,94,6.1NRT,285.7,14.96,N
31.404,5.9801,305.2,2.25,1.45,2023-04-09,0113,A,63,6.1NRT,278.55,35.96,N
31.40718,5.97296,303.79,2.25,1.45,2023-04-09,0113,A,57,6.1NRT,278.18,33.18,N
29.23594,19.71055,304.64,2.02,1.38,2023-04-09,0113,A,61,6.1NRT,281.42,26.41,N
29.2111,19.83261,302.26,2.06,1.4,2023-04-09,0113,A,48,6.1NRT,283.04,22.22,N
29.23419,19.70293,310.41,2.02,1.38,2023-04-09,0113,A,80,6.1NRT,282.03,37.18,N
28.91463,19.77425,303.12,2.07,1.4,2023-04-09,0113,A,53,6.1NRT,284.35,24.8,N
27.92788,9.25601,300.06,1.25,1.11,2023-04-09,0113,A,14,6.1NRT,283.08,9.61,N
-20.60743,118.3826,341.04,1.87,1.34,2023-04-09,0224,T,87,6.1NRT,305.4,74.82,D
-21.90545,118.15379,328.81,1.88,1.34,2023-04-09,0224,T,76,6.1NRT,301.29,42.55,D
-21.90747,118.17175,328.41,1.89,1.34,2023-04-09,0224,T,75,6.1NRT,299.31,41.81,D
-21.91284,118.16526,333.89,1.89,1.34,2023-04-09,0224,T,82,6.1NRT,300.19,60.45,D
-2.57186,121.3857,337.19,1.7,1.28,2023-04-09,0219,T,90,6.1NRT,292.11,68.77,D
-2.57023,121.37991,320.11,1.7,1.28,2023-04-09,0219,T,74,6.1NRT,290.27,25.01,D
-2.57236,121.39536,317.04,1.71,1.28,2023-04-09,0219,T,53,6.1NRT,292.4,18.88,D
-2.58162,121.37858,324.12,1.7,1.28,2023-04-09,0219,T,80,6.1NRT,295.15,34.45,D
-2.83148,122.16373,322.49,1.98,1.37,2023-04-09,0219,T,0,6.1NRT,297.98,30.85,D
-3.8728,122.39954,316.56,2.15,1.42,2023-04-09,0219,T,54,6.1NRT,295.23,25.19,D
-3.90073,122.4151,316.86,2.15,1.43,2023-04-09,0219,T,66,6.1NRT,295.26,24.64,D
-3.90111,122.40837,313.37,2.15,1.43,2023-04-09,0219,T,66,6.1NRT,294.93,18.7,D
-3.90366,122.42738,314.17,2.16,1.43,2023-04-09,0219,T,67,6.1NRT,294.36,20.44,D
-3.56258,119.77256,312.3,1.35,1.15,2023-04-09,0219,T,60,6.1NRT,297.33,8.7,D
